id,frag1,frag2,new_smiles
8830,*c1ocnc1C,*S(=O)(=O)c1cccc(-c2ccccc2)c1,Cc1ncoc1S(=O)(=O)c1cccc(-c2ccccc2)c1
8831,*c1cn2ccc(NC(=O)c3c(C(=O)N4CCC4)cnn3C)nc2n1,*CC=C,C=CCc1cn2ccc(NC(=O)c3c(C(=O)N4CCC4)cnn3C)nc2n1
8832,*N[C@@H](C)c1ccccc1,*CCOCCNC(=O)c1cc(-c2ccc(F)cc2)cc(O)c1O,C[C@H](NCCOCCNC(=O)c1cc(-c2ccc(F)cc2)cc(O)c1O)c1ccccc1
8833,*N[C@H](CO)c1ccccc1,*N1CCC1,OC[C@@H](NN1CCC1)c1ccccc1
8834,*Cc1ccc(F)c(F)c1,*c1nc2cc(NC(=O)c3cc(Cl)nc(CC)c3)ccn2n1,CCc1cc(C(=O)Nc2ccn3nc(Cc4ccc(F)c(F)c4)nc3c2)cc(Cl)n1
8835,*c1coc2cc(O)cc(O)c2c1=O,*C1CN(C(=O)c2ccc3nc(C4CCCCC4)oc3c2)C1,O=C(c1ccc2nc(C3CCCCC3)oc2c1)N1CC(c2coc3cc(O)cc(O)c3c2=O)C1
8836,*c1ccncc1,*c1ncc(C2CC2)nc1C(=O)N[C@H]1CCOC1,O=C(N[C@H]1CCOC1)c1nc(C2CC2)cnc1-c1ccncc1
8837,*C(=O)c1c(Cl)c(C)nn1C,*C(=O)N(CCCCc1nc(CO)c[nH]1)Cc1ccccc1,Cc1nn(C)c(C(=O)C(=O)N(CCCCc2nc(CO)c[nH]2)Cc2ccccc2)c1Cl
8838,*c1nccc(-c2ccnc(NCCN)c2)n1,*c1ccc(Cl)cn1,NCCNc1cc(-c2ccnc(-c3ccc(Cl)cn3)n2)ccn1
8839,*C[C@H](O)CO,*Cc1cc(=O)n2c(C(=O)NCC)c(C)sc2n1,CCNC(=O)c1c(C)sc2nc(CC[C@H](O)CO)cc(=O)n12
