id,frag1,frag2,new_smiles
112,*n1cnc2c(=O)[nH]cnc21,*[C@H](CCN(C)C)c1ccccc1,CN(C)CC[C@H](c1ccccc1)n1cnc2c(=O)[nH]cnc21
113,*c1ccc(N2CCN(C)CC2)cc1,*c1c(C)oc2cc(OC(C)=O)c(CCC)cc2c1=O,CCCc1cc2c(=O)c(-c3ccc(N4CCN(C)CC4)cc3)c(C)oc2cc1OC(C)=O
114,*Cc1cnccn1,*Nc1cnc2cc(Cl)nn2c1[C@@H](OC)[C@@H](C)OC,CO[C@H](C)[C@H](OC)c1c(NCc2cnccn2)cnc2cc(Cl)nn12
115,*C(=O)c1ccc(C)o1,*Nc1ccc(Nc2ncnc3ccccc23)cc1,Cc1ccc(C(=O)Nc2ccc(Nc3ncnc4ccccc34)cc2)o1
116,*C(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)NCC)c(C)c23)c1,*Nc1ncc(C)s1,CCNC(=O)c1cn2ncnc(Nc3cc(C(=O)Nc4ncc(C)s4)ccc3C)c2c1C
117,*c1cccc2ncccc12,*NCc1ccc(C)c(C)c1,Cc1ccc(CNc2cccc3ncccc23)cc1C
118,*Cc1ccc(C#N)cn1,*C(=O)c1ccc(C)c(Nc2nc(-c3cccnc3)nc(-c3cccnc3)n2)c1,Cc1ccc(C(=O)Cc2ccc(C#N)cn2)cc1Nc1nc(-c2cccnc2)nc(-c2cccnc2)n1
119,*C(=O)Cc1ccc(Cl)cn1,*OC[C@H](O)CO,O=C(Cc1ccc(Cl)cn1)OC[C@H](O)CO
120,*CCCNCc1cccnc1,*c1cc(CC)nc(N)n1,CCc1cc(CCCNCc2cccnc2)nc(N)n1
121,*C(=O)CCCCCCC,*c1ccnc(Cl)c1C#N,CCCCCCCC(=O)c1ccnc(Cl)c1C#N
122,*n1cccc1,*CC(=O)c1cc(C)n(-c2ccc(Cl)cc2)c1C,Cc1cc(C(=O)Cn2cccc2)c(C)n1-c1ccc(Cl)cc1
123,*c1cc(NC(=O)c2cccnc2)ccc1C,*c1cccc(-c2cc(NC(=O)NC)c(=O)n(C)c2)c1C,CNC(=O)Nc1cc(-c2cccc(-c3cc(NC(=O)c4cccnc4)ccc3C)c2C)cn(C)c1=O
124,*c1cccs1,*Cc1ccc2c(c1)COc1ccccc1C2=C(C)c1noc(=O)[nH]1,CC(=C1c2ccc(Cc3cccs3)cc2COc2ccccc21)c1noc(=O)[nH]1
125,*C(=O)c1cccnc1,*N1CCCCC1=O,O=C1CCCCN1C(=O)c1cccnc1
126,*n1cnc2c(=O)[nH]cnc21,*c1cn2ccc(N3CC[C@H](N)C3)cc2n1,N[C@H]1CCN(c2ccn3cc(-n4cnc5c(=O)[nH]cnc54)nc3c2)C1
127,*C1CCOCC1,*N1C(=O)C(CCCC)C(=O)N1c1ccccc1,CCCCC1C(=O)N(c2ccccc2)N(C2CCOCC2)C1=O
128,*[C@H]1CC[C@@H](C(F)(F)F)CC1,*Nc1ccc(CCC=O)cc1,O=CCCc1ccc(N[C@H]2CC[C@@H](C(F)(F)F)CC2)cc1
129,*c1c[nH]c2ccccc12,*N[C@@H]1CCC[C@H](N2CCN(C(C)=O)CC2)C1,CC(=O)N1CCN([C@H]2CCC[C@@H](Nc3c[nH]c4ccccc34)C2)CC1
130,*n1c2c(c3cc(F)cc(S(C)(=O)=O)c31)CCC[C@H]2CC(=O)[O-],*c1cccc2ncccc12,CS(=O)(=O)c1cc(F)cc2c3c(n(-c4cccc5ncccc45)c12)[C@H](CC(=O)[O-])CCC3
131,*c1cc(C)nc2ncnn12,*N[C@@H]1CCC[C@H](N2CCN(C(C)=O)CC2)C1,CC(=O)N1CCN([C@H]2CCC[C@@H](Nc3cc(C)nc4ncnn34)C2)CC1
132,*c1cc(F)c(F)c(F)c1,*n1c2ccccc2n2nc(CCC(=O)[O-])c(=O)nc12,O=C([O-])CCc1nn2c3ccccc3n(-c3cc(F)c(F)c(F)c3)c2nc1=O
133,*CC(=O)NCC(F)(F)F,*Nc1ccc(OCCC)c(-c2nc(CC)c(CC)c(=O)[nH]2)c1,CCCOc1ccc(NCC(=O)NCC(F)(F)F)cc1-c1nc(CC)c(CC)c(=O)[nH]1
134,*CCCCCCCCC,*C(=O)c1ccc(CN2CCN(C)CC2)cc1,CCCCCCCCCC(=O)c1ccc(CN2CCN(C)CC2)cc1
135,*NC(C)(C)C,*N1CC=CCC1,CC(C)(C)NN1CC=CCC1
136,*N1CC[C@@H](C(C)(C)O)C1,*c1nc2cccc(C(N)=O)c2[nH]1,CC(C)(O)[C@@H]1CCN(c2nc3cccc(C(N)=O)c3[nH]2)C1
137,*C(F)(F)F,*c1cc(N2CCOCC2)nc(N)n1,Nc1nc(N2CCOCC2)cc(C(F)(F)F)n1
138,*Nc1ccc(CN2CCN(CC)CC2)c(C(F)(F)F)c1,*N1C[C@H](C)O[C@H](C)C1,CCN1CCN(Cc2ccc(NN3C[C@H](C)O[C@H](C)C3)cc2C(F)(F)F)CC1
139,*c1c(Cl)ccc2c1OCO2,*C[C@H](O)CO,OC[C@@H](O)Cc1c(Cl)ccc2c1OCO2
140,*c1c(C)n[nH]c1C,*C(=O)c1cnn2cc(C)c(-n3cnc(C)n3)nc12,Cc1ncn(-c2nc3c(C(=O)c4c(C)n[nH]c4C)cnn3cc2C)n1
141,*c1ccc([C@@H]2CCCCN2)cc1F,*N1CC[C@H](C(C)(C)O)C1,CC(C)(O)[C@H]1CCN(c2ccc([C@@H]3CCCCN3)cc2F)C1
142,*n1nc(C)cc1C,*C(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)Cc1ccc(OC)cc1,COc1ccc(C[C@@H](N)[C@H](O)C(=O)N[C@@H](CC(C)C)C(=O)n2nc(C)cc2C)cc1
143,*[C@H](C=O)Cc1cnc[nH]1,*c1nnc(C)c2cnc(N3CCOCC3)cc12,Cc1nnc([C@H](C=O)Cc2cnc[nH]2)c2cc(N3CCOCC3)ncc12
