id,frag1,frag2,new_smiles
91,*NCCCCc1ccccc1,*[C@H](CO)Cc1c[nH]c2ccccc12,OC[C@H](Cc1c[nH]c2ccccc12)NCCCCc1ccccc1
92,*c1scnc1C,*CCC[C@@H](C)CC(=O)[O-],Cc1ncsc1CCC[C@@H](C)CC(=O)[O-]
93,*C(=O)Cc1ccccc1C,*CCNC(=O)CCCC[C@@H]1CCSS1,Cc1ccccc1CC(=O)CCNC(=O)CCCC[C@@H]1CCSS1
94,*C(=O)c1c(C(=O)N2CCOCC2)cnn1C,*C(=O)CNCC(C)C,CC(C)CNCC(=O)C(=O)c1c(C(=O)N2CCOCC2)cnn1C
95,*c1c(C(=O)O)cnc2cc(-c3c(C)noc3C)ccc12,*C(=O)Cc1ccc(F)cc1,Cc1noc(C)c1-c1ccc2c(C(=O)Cc3ccc(F)cc3)c(C(=O)O)cnc2c1
96,*c1ccc2c(c1)C=CN(C)C(=O)[C@@H]2C,*Nc1ccc(C(=O)O)c(OC)c1,COc1cc(Nc2ccc3c(c2)C=CN(C)C(=O)[C@@H]3C)ccc1C(=O)O
97,*[C@@H]1CCc2nnc(C)n2-c2ccc(-c3cnn(C)c3)cc21,*c1c[nH]nc1C,Cc1n[nH]cc1[C@@H]1CCc2nnc(C)n2-c2ccc(-c3cnn(C)c3)cc21
98,*OC,*CCCCCc1ccccn1,COCCCCCc1ccccn1
99,*N1CCNCC1,*N1CC2=C(C1=O)[C@@H](c1ccc(C)cc1)c1c(n(CC)c(=O)[nH]c1=O)N2,CCn1c2c(c(=O)[nH]c1=O)[C@H](c1ccc(C)cc1)C1=C(CN(N3CCNCC3)C1=O)N2
100,*N1CCN(C(=O)CC2(CC(=O)O)CCCC2)CC1,*S(=O)(=O)c1c(F)cccc1F,O=C(O)CC1(CC(=O)N2CCN(S(=O)(=O)c3c(F)cccc3F)CC2)CCCC1
101,*N1C=CCC(C(N)=O)=C1,*NC[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,NC(=O)C1=CN(NC[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)C=CC1
102,*NC1CCCC1,*c1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(NC3CCCC3)n2)cc1
103,*c1cc(F)c2c(c1)C(C)(C)C(=O)N2,*C(=O)c1cccc(Cl)c1,CC1(C)C(=O)Nc2c(F)cc(C(=O)c3cccc(Cl)c3)cc21
104,*S(=O)(=O)c1ccc(-c2csc(CC(=O)OCC)n2)cc1,*c1cn[nH]c1,CCOC(=O)Cc1nc(-c2ccc(S(=O)(=O)c3cn[nH]c3)cc2)cs1
105,*c1c(C)nnn1C1CCN(CCN(C)C)CC1,*c1cc(C)c2c(=O)[nH]ncn12,Cc1nnn(C2CCN(CCN(C)C)CC2)c1-c1cc(C)c2c(=O)[nH]ncn12
106,*c1ccccc1C(=O)c1ccccc1,*CCCNC(=O)CC(=O)OC,COC(=O)CC(=O)NCCCc1ccccc1C(=O)c1ccccc1
107,*c1ccc(C(=O)NC2CCN(C)CC2)c(F)c1,*c1nc2c([nH]1)c(=O)n(CCC)c(=O)n2CCC,CCCn1c(=O)c2[nH]c(-c3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)nc2n(CCC)c1=O
108,*S(=O)(=O)c1c(C)cc(OC)c(C)c1C,*c1ccc(S(=O)(=O)C(F)F)cc1[N+](=O)[O-],COc1cc(C)c(S(=O)(=O)c2ccc(S(=O)(=O)C(F)F)cc2[N+](=O)[O-])c(C)c1C
109,*Cc1c[nH]c2ccc(C)cc12,*n1cc(O)cn1,Cc1ccc2[nH]cc(Cn3cc(O)cn3)c2c1
110,*c1c(C)cc(C=CC#N)cc1C,*[C@@H](C)COC,COC[C@H](C)c1c(C)cc(C=CC#N)cc1C
111,*c1cccc(OC(F)(F)F)c1,*c1ccc(S(N)(=O)=O)cc1,NS(=O)(=O)c1ccc(-c2cccc(OC(F)(F)F)c2)cc1
112,*c1nc(N)nc(OC)n1,*N1CCC[C@H](N)C1,COc1nc(N)nc(N2CCC[C@H](N)C2)n1
113,*c1cccn1C,*C(=O)N[C@@H]1C[C@H](C)N(C(C)=O)c2ccc(-c3ccc(CNC)cc3)cc21,CNCc1ccc(-c2ccc3c(c2)[C@H](NC(=O)c2cccn2C)C[C@H](C)N3C(C)=O)cc1
114,*C(=O)CCCCCCC,*c1cn(CC=CC)c(=O)c2[nH]ccc12,CC=CCn1cc(C(=O)CCCCCCC)c2cc[nH]c2c1=O
115,*c1nc(N(C)CCCN(C)C)nc2ccc(Br)cc12,*CC=CC,CC=CCc1nc(N(C)CCCN(C)C)nc2ccc(Br)cc12
